nik,section,sub_section,dedicated
10744,Inspeksi,Meja,0
10744,Inspeksi,Shrink,0
10744,Inspeksi,Cluster,0
10744,Inspeksi,Stickering,0
10744,Inspeksi,Rework,0
10746,Inspeksi,Camera Offline,1
10746,Inspeksi,Meja,0
10746,Inspeksi,Cluster,0
10746,Inspeksi,Stickering,0
10746,Inspeksi,Rework,0
10747,Delivery,Picker,1
10747,Delivery,Loader,0
10750,Inspeksi,Camera Offline,1
10750,Inspeksi,Meja,0
10750,Inspeksi,Shrink,0
10750,Inspeksi,Cluster,0
10750,Inspeksi,Stickering,0
10750,Inspeksi,Rework,0
10752,Inspeksi,Camera Offline,1
10752,Inspeksi,Meja,0
10752,Inspeksi,Shrink,0
10752,Inspeksi,Cluster,0
10752,Inspeksi,Stickering,0
10752,Inspeksi,Rework,0
10753,Inspeksi,Camera Offline,1
10753,Inspeksi,Meja,0
10753,Inspeksi,Shrink,0
10753,Inspeksi,Repallet,0
10753,Inspeksi,Pembuatan Partisi,0
10753,Inspeksi,Cleaning Pallet,0
10755,Inspeksi,Camera Offline,1
10755,Inspeksi,Pembuatan Partisi,0
10755,Inspeksi,Cleaning Pallet,0
10756,Inspeksi,Camera Offline,1
10756,Inspeksi,Meja,0
10756,Inspeksi,Shrink,0
10756,Inspeksi,Repallet,0
10756,Inspeksi,Pembuatan Partisi,0
10756,Inspeksi,Cleaning Pallet,0
10757,Inspeksi,Camera Offline,1
10757,Inspeksi,Meja,0
10757,Inspeksi,Shrink,0
10757,Inspeksi,Repallet,0
10757,Inspeksi,Pembuatan Partisi,0
10757,Inspeksi,Cleaning Pallet,0
10763,Inspeksi,Camera Offline,1
10763,Inspeksi,Meja,0
10763,Inspeksi,Cluster,0
10763,Inspeksi,Stickering,0
10763,Inspeksi,Rework,0
10765,Inspeksi,Camera Offline,1
10765,Inspeksi,Meja,0
10765,Inspeksi,Shrink,0
10765,Inspeksi,Cluster,0
10765,Inspeksi,Stickering,0
10765,Inspeksi,Rework,0
10768,Inspeksi,Camera Offline,1
10768,Inspeksi,Meja,0
10768,Inspeksi,Shrink,0
10768,Inspeksi,Cluster,0
10768,Inspeksi,Stickering,0
10768,Inspeksi,Rework,0
10769,Inspeksi,Camera Offline,1
10769,Inspeksi,Meja,0
10769,Inspeksi,Cluster,0
10769,Inspeksi,Stickering,0
10769,Inspeksi,Rework,0
10777,Finished goods,Penandaan,1
10777,Finished goods,Meja,0
10777,Finished goods,Camera Offline,0
10777,Finished goods,rework,0
10777,Finished goods,shrink,0
10777,Finished goods,cluster,0
10777,Finished goods,stickering,0
10781,Operator Forklift,Operator Forklift,1
10782,Delivery,Admin Delivery,1
10782,Delivery,Admin FG,0
10783,Loader,Loader,1
10783,Loader,Penimbangan,0
10784,Delivery,Dispatcer,1
10784,Delivery,Loader,0
10785,RM/PM,Buffer Room,1
10786,Operator Forklift,Operator Forklift,1
10786,Operator Forklift,Picker,0
10789,Delivery,Leader Delivery,1
10791,Finished goods,Checker SAP,1
10791,Finished goods,Penandaan,0
10791,Finished goods,Putway,0
10791,Finished goods,Picker,0
10797,Operator Forklift,Operator Forklift,1
10798,Operator Forklift,Operator Forklift,1
10800,Delivery,Picker,1
10800,Delivery,Dispatcer,0
10800,Delivery,Loader,0
10802,Finished goods,Leader Finished goods,1
10803,Operator Forklift,Operator Forklift,1
10803,Operator Forklift,Dispatcer,0
10804,Operator Forklift,Operator Forklift,1
10804,Operator Forklift,Penandaan,0
10804,Operator Forklift,Putway,0
10807,Finished goods,Leader Finished goods,1
10818,Operator Forklift,Operator Forklift,1
10821,Operator Forklift,Operator Forklift,1
10821,Operator Forklift,Dispatcer,0
10824,Operator Forklift,Operator Forklift,1
